Image_id,Username,Likes,Date,Time,Caption,Hashtags,Mentions,Mention Count,Hashtag Count,Image Age,Image Age From Start,Log Followers,Ratio Log,Class,Hue,Saturation,DaysSinceLastPosting,Caption Short,Caption Length,CaptionTruncated,Caption Lemma
39011800_285850952007996_7980606593874001920_n.jpg,tsamneb,16,2018-08-24,00:36:02,I\u2019m a podcast producer now. #myneighborsue,['myneighborsue'],[],0,1,985,2345,1504.0307821397982,0.01,0.0,57.97,73.86,-11.0,Im a podcast producer now ,28,0,Im a podcast producer now
134108128_154009946481689_1346114538917217875_n.jpg,benrussell47photography,5,2020-12-28,17:42:51,#botanicgardens @nationalbotanicgardens_ireland,['botanicgardens'],['nationalbotanicgardens_ireland'],1,1,128,139,185.465081171838,0.03,0.025,43.36,64.23,0.0, ,1,0,
44219443_707917332906129_5553391552366489798_n.jpg,kirkilou7,483,2018-11-07,15:05:19,New goodies \ud83d\udc63  #footcare #beauty #foundation #makeup #mascara #nealsyard #bourjois #loreal #lorealparis #lashparadise #healthymix #bourjoishealthymix #emoji #\ud83d\udc63 #flatlay #cosmetics #november #autumn #2018 #instadaily #instaphoto #haul #shopping #shop #feet #nealsyardremedies #photography #instabeauty,"['footcare', 'beauty', 'foundation', 'makeup', 'mascara', 'nealsyard', 'bourjois', 'loreal', 'lorealparis', 'lashparadise', 'healthymix', 'bourjoishealthymix', 'emoji', '\\ud83d\\udc63', 'flatlay', 'cosmetics', 'november', 'autumn', '2018', 'instadaily', 'instaphoto', 'haul', 'shopping', 'shop', 'feet', 'nealsyardremedies', 'photography', 'instabeauty']",[],0,28,910,1848,1468.8125242839055,0.33,0.325,112.78,39.03,-1.0,New goodies udc63                             ,47,0,New goody udc63
21688705_118639382109641_7757780611065970688_n.jpg,anitarunner,20,2017-09-15,08:05:40,"Dalia, la \""diva\"" de la horticultura.\n.\n.\n.\n#dalia #extravagante #atractiva #glamurosa #florynata #jard\u00ednparticular.","['extravagante', 'atractiva', 'glamurosa', 'florynata', 'jard\\u00ednparticular.']",[],0,5,1328,1578,2955.895671725832,0.01,0.0,105.64,203.76,-1.0,Dalia la diva de la horticultura,41,0,Dalia la diva de la horticultura
21224703_173620793207400_6926191177813196800_n.jpg,zombimo,254,2015-01-01,13:28:58,#cat #catlove #catstocker #kitten #Katze #selfmate #selfi #cute #sweet #beautiful #beauty #love #lovely #liebe #ginger_catz #ginger_cat #gingercat #gingerboss #ig_catclub #instacat #instakitten #tagsforlikes #ilovemycat #pets_of_our_world #animal #orange,"['cat', 'catlove', 'catstocker', 'kitten', 'Katze', 'selfmate', 'selfi', 'cute', 'sweet', 'beautiful', 'beauty', 'love', 'lovely', 'liebe', 'ginger_catz', 'ginger_cat', 'gingercat', 'gingerboss', 'ig_catclub', 'instacat', 'instakitten', 'tagsforlikes', 'ilovemycat', 'pets_of_our_world', 'animal', 'orange']",[],0,26,2316,673,5257.277826899646,0.05,0.05,92.54,106.54,0.0,                         ,25,0,
21227457_685136791656721_3886967826904252416_n.jpg,londonviewpoints,4243,2016-11-15,21:29:44,"Ben's eye \ud83c\udfaf\nGuys and girls - you are amazing\ud83d\ude0dYour feedback to the @London tribute  story I posted this morning was beyond any expectations \ud83d\ude0a\ud83d\ude4f\ud83c\udffb\ud83d\ude4f\ud83c\udffbAnd if you have seen it yet, well... check it out\ud83d\udc4d\ud83c\udffbTag a friend and let them know that in London with we have the best community hub in the world\ud83d\udc4a\ud83c\udffb\ud83d\udca5If your friend ask you why? Tell him/her to watch my video\u2196\ufe0f\ud83d\udcf2\ud83d\udcfd\ud83d\udc4d\ud83c\udffb\nViewpoint location\ud83d\ude4c\ud83c\udffb\u27a1\ufe0f\ud83c\udfe2: #EthelburgaTower in Battersea, where from #BigBen \ud83d\udd70and #LondonEye \ud83c\udfa1do look great together\ud83d\ude3b","['EthelburgaTower', 'BigBen', 'LondonEye']",['London'],1,3,1632,723,116779.8344095807,0.04,0.05,91.56,82.69,-1.0,Bens eye udfafGuys and girls  you are amazingude0dYour feedback to the  tribute  story I posted this morning was beyond any expectations ude0aude4fudffbude4fudffbAnd if you have seen it yet well check it outudc4dudffbTag a friend and let them know that in London with we have the best community hub in the worldudc4audffbudca5If your friend ask you why Tell himher to watch my videou2196udcf2udcfdudc4dudffbViewpoint locationude4cudffbu27a1udfe2  in Battersea where from  udd70and  udfa1do look great togetherude3b,548,1,Bens eye udfafGuys and girl you are amazingude0dYour feedback to the tribute story I posted this morning wa beyond any expectation ude0aude4fudffbude4fudffbAnd if you have seen it yet well check it outudc4dudffbTag a friend and let them know that in London with we have the best community hub in the worldudc4audffbudca5If your friend ask you why Tell himher to watch my videou2196udcf2udcfdudc4dudffbViewpoint locationude4cudffbu27a1udfe2 in Battersea where from udd70and udfa1do look great togetherude3b
52527558_391371351644897_8620800026078802397_n.jpg,maddie.in.motion,84,2019-03-03,10:03:02,"Two girls, one name #themaddies",['themaddies'],[],0,1,794,1395,904.7046323005665,0.09,0.1,80.09,48.36,-11.0,Two girls one name ,20,0,Two girl one name
67173649_498907937526596_7843741963417942472_n.jpg,doctor.gerardo,933,2019-07-18,06:08:06,Believe in yourself and you will find the strength to keep going.,[],[],0,0,657,2404,22815.89804169936,0.04,0.05,91.76,116.77,-1.0,Believe in yourself and you will find the strength to keep going,65,0,Believe in yourself and you will find the strength to keep going
61776367_323953975197376_4114337906947183376_n.jpg,laurengracelife,331,2019-06-19,19:36:42,Just a lil close up \ud83c\udf51\ud83d\udcab\u2728 #LaurenGraceTravels,['LaurenGraceTravels'],[],0,1,686,1846,38681.77026434578,0.01,0.0,111.11,103.8,-1.0,Just a lil close up udf51udcabu2728 ,39,0,Just a lil close up udf51udcabu2728
18722419_1911198719161376_3651482574020149248_n.jpg,apriljjackson,55,2017-05-27,17:16:52,"This is what friendship looks like, when @clj0110 brought my favourite dessert, Ispahan, from @pierreherme in Paris it made my day! I've blogged about this enough for the world to know that desserts just don't get any better. Feeling especially grateful xo",[],"['clj0110', 'pierreherme']",2,0,1439,1689,3010.377584056009,0.02,0.025,60.6,124.61,-4.0,This is what friendship looks like when  brought my favourite dessert Ispahan from  in Paris it made my day Ive blogged about this enough for the world to know that desserts just dont get any better Feeling especially grateful xo,236,1,This is what friendship look like when brought my favourite dessert Ispahan from in Paris it made my day Ive blogged about this enough for the world to know that dessert just dont get any better Feeling especially grateful xo
25012950_1403898469721413_6696135008404373504_n.jpg,tsamneb,5,2017-12-19,19:07:55,#kitty,['kitty'],[],0,1,1233,2097,1482.3663304653287,0.0,0.0,111.82,39.76,-4.0,,0,0,
43388275_369942280216658_7430066059396251648_n.jpg,iphy17,64,2018-10-18,20:26:25,L\u2019ultima volta che ci siamo allenati insieme eravamo su un #tatami con i guantini alle mani...\u00e9 stato uno spettacolo girare con te oggi!!! Grande Giovanni!!!\n#oldfriends #newpassion #ancheioconoscoilcinobike #pedaltothemedal #ethenrider #mtb #mtblife #bikeporn #bikerlife #biker #girlrider #enduromtb #endurobike #endurogirl #ridelikeagirl #rideignorantfightleukemia #ridehard #neverstopriding #nopainnogain #bejuststrong #juststrongambassador #iphy,"['tatami', 'newpassion', 'ancheioconoscoilcinobike', 'pedaltothemedal', 'ethenrider', 'mtb', 'mtblife', 'bikeporn', 'bikerlife', 'biker', 'girlrider', 'enduromtb', 'endurobike', 'endurogirl', 'ridelikeagirl', 'rideignorantfightleukemia', 'ridehard', 'neverstopriding', 'nopainnogain', 'bejuststrong', 'juststrongambassador', 'iphy']",[],0,22,930,2265,7873.394304489496,0.01,0.0,93.25,69.46,-1.0,Lultima volta che ci siamo allenati insieme eravamo su un  con i guantini alle maniu00e9 stato uno spettacolo girare con te oggi Grande Giovanni,155,1,Lultima volta che ci siamo allenati insieme eravamo su un con i guantini alle maniu00e9 stato uno spettacolo girare con te oggi Grande Giovanni
40048291_1763068263742519_6211004407778115584_n.jpg,kamalrazvi,19,2018-08-28,16:36:19,#view #views #london\ud83c\uddec\ud83c\udde7 #scenary #scenaryshot #photographer #photography #landscapelover #landscapephotography #landscape #instagram #insta #instagood #naturephotography #sunset #sunsetporn #sunsets #sunsetskyline #sunset_lovers #sunsetporn #cloud #cloudporn #scenic #breathtakingviews #breathtaking #clouds\u2601 #nofiltersunset #nofilternoedit #eyeem #eyeemphoto #captivating,"['view', 'views', 'london\\ud83c\\uddec\\ud83c\\udde7', 'scenary', 'scenaryshot', 'photographer', 'photography', 'landscapelover', 'landscapephotography', 'landscape', 'instagram', 'insta', 'instagood', 'naturephotography', 'sunset', 'sunsetporn', 'sunsets', 'sunsetskyline', 'sunset_lovers', 'sunsetporn', 'cloud', 'cloudporn', 'scenic', 'breathtakingviews', 'breathtaking', 'clouds\\u2601', 'nofiltersunset', 'nofilternoedit', 'eyeem', 'eyeemphoto', 'captivating']",[],0,31,981,229,368.1997708744056,0.05,0.05,113.63,120.62,0.0,                              ,30,0,
103766512_171525524357712_3502122543003055721_n.jpg,laurentessa12,1214,2020-06-16,21:02:03,Who else loves having no makeup days? \ud83e\udd70I find it so refreshing and it lets my skin breath \u2764\ufe0f\nNecklace from: @framingharleycreations (gifted)\n.\n.\n.\n.\n#nomakeup #naturalhair #naturalbeauty #bareface #selfie #grunge #grungegirl #aesthetic #tumblr #alternative #witch #alternativegirl #witchy #gothdoll #gothgirl #alternativemodel #fashion #beauty #makeup #redhair #likeforlikes #lfl #ootd #influencer,"['naturalhair', 'naturalbeauty', 'bareface', 'selfie', 'grunge', 'grungegirl', 'aesthetic', 'tumblr', 'alternative', 'witch', 'alternativegirl', 'witchy', 'gothdoll', 'gothgirl', 'alternativemodel', 'fashion', 'beauty', 'makeup', 'redhair', 'likeforlikes', 'lfl', 'ootd', 'influencer']",['framingharleycreations'],1,23,323,704,10743.272043315097,0.11,0.1,108.08,80.81,-1.0,Who else loves having no makeup days udd70I find it so refreshing and it lets my skin breath u2764Necklace from  gifted,129,1,Who else love having no makeup day udd70I find it so refreshing and it let my skin breath u2764Necklace from gifted
